"","Leeftijd","Marges","Perioden","Wijken.en.buurten","Regioaanduiding.Soort.regio..omschrijving.","Psychische.klachten....","Hoog.risico.op.angst.of.depressie...."
"224","18 jaar of ouder","Waarde",2022,"Oudewater","Gemeente  ",17.5,7.1
"225","18 jaar of ouder","Waarde",2022,"Overbetuwe","Gemeente  ",17.6,7.6
"226","18 jaar of ouder","Waarde",2022,"Papendrecht","Gemeente  ",21.3,9.6
"227","18 jaar of ouder","Waarde",2022,"Peel en Maas","Gemeente  ",18.4,7.5
"228","18 jaar of ouder","Waarde",2022,"Pekela","Gemeente  ",22.8,11.1
"229","18 jaar of ouder","Waarde",2022,"Pijnacker-Nootdorp","Gemeente  ",19.1,8.1
"230","18 jaar of ouder","Waarde",2022,"Purmerend","Gemeente  ",22.3,10.3
"231","18 jaar of ouder","Waarde",2022,"Putten","Gemeente  ",16.9,7.4
"232","18 jaar of ouder","Waarde",2022,"Raalte","Gemeente  ",15.7,6.6
"233","18 jaar of ouder","Waarde",2022,"Reimerswaal","Gemeente  ",20.4,9.1
"234","18 jaar of ouder","Waarde",2022,"Renkum","Gemeente  ",17.6,7.5
"235","18 jaar of ouder","Waarde",2022,"Renswoude","Gemeente  ",16.5,7
"236","18 jaar of ouder","Waarde",2022,"Reusel-De Mierden","Gemeente  ",17.4,6.8
"237","18 jaar of ouder","Waarde",2022,"Rheden","Gemeente  ",20.8,9.7
"238","18 jaar of ouder","Waarde",2022,"Rhenen","Gemeente  ",17.6,7.8
"239","18 jaar of ouder","Waarde",2022,"Ridderkerk","Gemeente  ",22.1,10.1
"240","18 jaar of ouder","Waarde",2022,"Rijssen-Holten","Gemeente  ",16.5,7.2
"241","18 jaar of ouder","Waarde",2022,"Rijswijk","Gemeente  ",25.1,12.5
"242","18 jaar of ouder","Waarde",2022,"Roerdalen","Gemeente  ",21.2,8.9
"243","18 jaar of ouder","Waarde",2022,"Roermond","Gemeente  ",25.7,11.6
"244","18 jaar of ouder","Waarde",2022,"De Ronde Venen","Gemeente  ",18.4,7.8
"245","18 jaar of ouder","Waarde",2022,"Roosendaal","Gemeente  ",23.5,10.6
"246","18 jaar of ouder","Waarde",2022,"Rotterdam","Gemeente  ",30.6,15.6
"247","18 jaar of ouder","Waarde",2022,"Rozendaal","Gemeente  ",11.8,4.3
"248","18 jaar of ouder","Waarde",2022,"Rucphen","Gemeente  ",19.8,8.3
"249","18 jaar of ouder","Waarde",2022,"Schagen","Gemeente  ",18,7.7
"250","18 jaar of ouder","Waarde",2022,"Scherpenzeel","Gemeente  ",17.4,7.3
"251","18 jaar of ouder","Waarde",2022,"Schiedam","Gemeente  ",28.2,13.7
"252","18 jaar of ouder","Waarde",2022,"Schiermonnikoog","Gemeente  ",19.4,8.9
"253","18 jaar of ouder","Waarde",2022,"Schouwen-Duiveland","Gemeente  ",18,7.1
"254","18 jaar of ouder","Waarde",2022,"Simpelveld","Gemeente  ",21.9,9.4
"255","18 jaar of ouder","Waarde",2022,"Sint-Michielsgestel","Gemeente  ",16.1,6.5
"256","18 jaar of ouder","Waarde",2022,"Sittard-Geleen","Gemeente  ",25.1,11.6
"257","18 jaar of ouder","Waarde",2022,"Sliedrecht","Gemeente  ",21.8,10
"258","18 jaar of ouder","Waarde",2022,"Sluis","Gemeente  ",18.8,8.2
"259","18 jaar of ouder","Waarde",2022,"Smallingerland","Gemeente  ",19.5,8.8
"260","18 jaar of ouder","Waarde",2022,"Soest","Gemeente  ",19.6,8.8
"261","18 jaar of ouder","Waarde",2022,"Someren","Gemeente  ",17.9,7.4
"262","18 jaar of ouder","Waarde",2022,"Son en Breugel","Gemeente  ",17.2,6.9
"263","18 jaar of ouder","Waarde",2022,"Stadskanaal","Gemeente  ",21.4,10.1
"264","18 jaar of ouder","Waarde",2022,"Staphorst","Gemeente  ",15.4,6.5
"265","18 jaar of ouder","Waarde",2022,"Stede Broec","Gemeente  ",19.6,8.5
"266","18 jaar of ouder","Waarde",2022,"Steenbergen","Gemeente  ",20.3,8.6
"267","18 jaar of ouder","Waarde",2022,"Steenwijkerland","Gemeente  ",17.7,8
"268","18 jaar of ouder","Waarde",2022,"Stein","Gemeente  ",21.2,8.9
"269","18 jaar of ouder","Waarde",2022,"Stichtse Vecht","Gemeente  ",19.1,8.2
"270","18 jaar of ouder","Waarde",2022,"Súdwest-Fryslân","Gemeente  ",17.8,7.9
"271","18 jaar of ouder","Waarde",2022,"Terneuzen","Gemeente  ",21.1,8.8
"272","18 jaar of ouder","Waarde",2022,"Terschelling","Gemeente  ",17.3,7.3
"273","18 jaar of ouder","Waarde",2022,"Texel","Gemeente  ",18,7.6
"274","18 jaar of ouder","Waarde",2022,"Teylingen","Gemeente  ",18.6,8.1
"275","18 jaar of ouder","Waarde",2022,"Tholen","Gemeente  ",20.1,8.7
"276","18 jaar of ouder","Waarde",2022,"Tiel","Gemeente  ",23.4,11.3
"277","18 jaar of ouder","Waarde",2022,"Tilburg","Gemeente  ",26.1,12.2
"278","18 jaar of ouder","Waarde",2022,"Tubbergen","Gemeente  ",14.8,6
"279","18 jaar of ouder","Waarde",2022,"Twenterand","Gemeente  ",16.8,7.9
"280","18 jaar of ouder","Waarde",2022,"Tynaarlo","Gemeente  ",15.1,5.9
"281","18 jaar of ouder","Waarde",2022,"Tytsjerksteradiel","Gemeente  ",16.4,6.7
"282","18 jaar of ouder","Waarde",2022,"Uitgeest","Gemeente  ",17.8,7.7
"283","18 jaar of ouder","Waarde",2022,"Uithoorn","Gemeente  ",21.5,9.5
"284","18 jaar of ouder","Waarde",2022,"Urk","Gemeente  ",16.9,7.8
