"","Onderwijsvolgend","Arbeidskenmerken","Uitkering","Geregistreerd.werkzoekende.bij.UWV","Perioden","Gemeente","Jongeren..15.tot.27.jaar...aantal.","Leeftijd","Marges","Regioaanduiding.Soort.regio..omschrijving.","Psychische.klachten....","Hoog.risico.op.angst.of.depressie...."
"40","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Bladel",2900,"18 jaar of ouder","Waarde","Gemeente  ",NA,4.8
"41","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Blaricum",1200,"18 jaar of ouder","Waarde","Gemeente  ",NA,4.3
"42","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Bloemendaal",2800,"18 jaar of ouder","Waarde","Gemeente  ",NA,3.7
"43","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Bodegraven-Reeuwijk",5000,"18 jaar of ouder","Waarde","Gemeente  ",NA,4.9
"44","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Boekel",1700,"18 jaar of ouder","Waarde","Gemeente  ",NA,4.8
"45","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Borger-Odoorn",3100,"18 jaar of ouder","Waarde","Gemeente  ",NA,4.7
"46","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Borne",3000,"18 jaar of ouder","Waarde","Gemeente  ",NA,4.5
"47","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Borsele",3100,"18 jaar of ouder","Waarde","Gemeente  ",NA,4.8
"48","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Boxtel",4600,"18 jaar of ouder","Waarde","Gemeente  ",NA,6.2
"49","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Breda",30700,"18 jaar of ouder","Waarde","Gemeente  ",NA,7.6
"50","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Bronckhorst",4800,"18 jaar of ouder","Waarde","Gemeente  ",NA,4.4
