"","Onderwijsvolgend","Uitkering","Geregistreerd.werkzoekende.bij.UWV","Perioden","Gemeente","aantal_jongeren","nietwerkzame_jongeren"
"73","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Drechterland",2800,700
"74","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Drimmelen",3500,800
"75","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Dronten",6400,2000
"76","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Druten",2700,700
"77","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Duiven",3600,900
"78","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Echt-Susteren",3600,1100
"79","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Edam-Volendam",5400,1000
"80","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Ede",18600,4800
"81","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Eemnes",1300,400
"82","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Eemsdelta",5700,2000
"83","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Eersel",2600,600
"84","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Eijsden-Margraten",3100,1000
"85","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Eindhoven",41400,14900
"86","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Elburg",3400,800
"87","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Emmen",14300,4400
"88","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Enkhuizen",2400,700
"89","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Enschede",30800,12600
"90","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Epe",4200,1000
"91","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Ermelo",3800,1000
"92","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Etten-Leur",5600,1500
"93","Totaal ","Totaal met of zonder uitkering","Totaal","2020","De Fryske Marren",6800,1700
"94","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Geertruidenberg",2800,700
"95","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Geldrop-Mierlo",5300,1500
"96","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Gemert-Bakel",4100,900
"97","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Gennep",2100,500
"98","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Gilze en Rijen",3600,900
"99","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Goeree-Overflakkee",6800,1500
"100","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Goes",5100,1200
"101","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Goirle",2700,700
"102","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Gooise Meren",7100,3200
"103","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Gorinchem",5400,1500
"104","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Gouda",10600,3200
"105","Totaal ","Totaal met of zonder uitkering","Totaal","2020","'s-Gravenhage (gemeente)",85000,36700
"106","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Groningen (gemeente)",61400,26300
"107","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Gulpen-Wittem",1500,400
"108","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Haaksbergen",3200,700
"109","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Haarlem",20700,6700
"110","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Haarlemmermeer",22800,7100
"111","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Halderberge",3800,1000
"112","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Hardenberg",9300,2200
"113","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Harderwijk",6800,1800
"114","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Hardinxveld-Giessendam",2800,600
"115","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Harlingen",2100,600
"116","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Hattem",1600,500
"117","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Heemskerk",5300,1300
"118","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Heemstede",2900,1300
"119","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Heerde",2400,600
"120","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Heerenveen",6900,2200
"121","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Heerlen",10900,3700
"122","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Heeze-Leende",2000,500
"123","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Heiloo",3100,900
"124","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Den Helder",7200,2000
"125","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Hellendoorn",5000,1200
"126","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Helmond",13400,4200
"127","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Hendrik-Ido-Ambacht",4200,1100
"128","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Hengelo (O.)",12100,3800
"129","Totaal ","Totaal met of zonder uitkering","Totaal","2020","'s-Hertogenbosch",22500,6100
"130","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Heumen",2200,700
"131","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Heusden",6100,1500
"132","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Hillegom",2800,700
"133","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Hilvarenbeek",2100,400
"134","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Hilversum",11900,4300
