"","Leeftijd","Marges","Perioden","Wijken.en.buurten","Regioaanduiding.Soort.regio..omschrijving.","Psychische.klachten....","Hoog.risico.op.angst.of.depressie...."
"1","18 jaar of ouder","Waarde",2020,"Nederland","Land      ","       .",6.8
"2","18 jaar of ouder","Waarde",2020,"Aa en Hunze","Gemeente  ","       .",3.7
"3","18 jaar of ouder","Waarde",2020,"Aalsmeer","Gemeente  ","       .",4.9
"4","18 jaar of ouder","Waarde",2020,"Aalten","Gemeente  ","       .",5.4
"5","18 jaar of ouder","Waarde",2020,"Achtkarspelen","Gemeente  ","       .",4.6
"6","18 jaar of ouder","Waarde",2020,"Alblasserdam","Gemeente  ","       .",6.5
"7","18 jaar of ouder","Waarde",2020,"Albrandswaard","Gemeente  ","       .",5.5
"8","18 jaar of ouder","Waarde",2020,"Alkmaar","Gemeente  ","       .",6.9
"9","18 jaar of ouder","Waarde",2020,"Almelo","Gemeente  ","       .",7.7
"10","18 jaar of ouder","Waarde",2020,"Almere","Gemeente  ","       .",7.6
"11","18 jaar of ouder","Waarde",2020,"Alphen aan den Rijn","Gemeente  ","       .",5.9
"12","18 jaar of ouder","Waarde",2020,"Alphen-Chaam","Gemeente  ","       .",4.2
"13","18 jaar of ouder","Waarde",2020,"Altena","Gemeente  ","       .",4.9
"14","18 jaar of ouder","Waarde",2020,"Ameland","Gemeente  ","       .",4
"15","18 jaar of ouder","Waarde",2020,"Amersfoort","Gemeente  ","       .",6.7
"16","18 jaar of ouder","Waarde",2020,"Amstelveen","Gemeente  ","       .",6.2
"17","18 jaar of ouder","Waarde",2020,"Amsterdam","Gemeente  ","       .",9.4
"18","18 jaar of ouder","Waarde",2020,"Apeldoorn","Gemeente  ","       .",6.7
"19","18 jaar of ouder","Waarde",2020,"Arnhem","Gemeente  ","       .",9.7
"20","18 jaar of ouder","Waarde",2020,"Assen","Gemeente  ","       .",5.5
"21","18 jaar of ouder","Waarde",2020,"Asten","Gemeente  ","       .",5.6
"22","18 jaar of ouder","Waarde",2020,"Baarle-Nassau","Gemeente  ","       .",4.9
"23","18 jaar of ouder","Waarde",2020,"Baarn","Gemeente  ","       .",5.4
"24","18 jaar of ouder","Waarde",2020,"Barendrecht","Gemeente  ","       .",5.7
"25","18 jaar of ouder","Waarde",2020,"Barneveld","Gemeente  ","       .",5.2
"26","18 jaar of ouder","Waarde",2020,"Beek","Gemeente  ","       .",6.9
"27","18 jaar of ouder","Waarde",2020,"Beekdaelen","Gemeente  ","       .",7
"28","18 jaar of ouder","Waarde",2020,"Beesel","Gemeente  ","       .",6
"29","18 jaar of ouder","Waarde",2020,"Berg en Dal","Gemeente  ","       .",5.8
"30","18 jaar of ouder","Waarde",2020,"Bergeijk","Gemeente  ","       .",4.6
"31","18 jaar of ouder","Waarde",2020,"Bergen (L.)","Gemeente  ","       .",5.2
"32","18 jaar of ouder","Waarde",2020,"Bergen (NH.)","Gemeente  ","       .",4
"33","18 jaar of ouder","Waarde",2020,"Bergen op Zoom","Gemeente  ","       .",7.9
"34","18 jaar of ouder","Waarde",2020,"Berkelland","Gemeente  ","       .",4.4
"35","18 jaar of ouder","Waarde",2020,"Bernheze","Gemeente  ","       .",5.1
"36","18 jaar of ouder","Waarde",2020,"Best","Gemeente  ","       .",6.2
"37","18 jaar of ouder","Waarde",2020,"Beuningen","Gemeente  ","       .",5.6
"38","18 jaar of ouder","Waarde",2020,"Beverwijk","Gemeente  ","       .",7.3
"39","18 jaar of ouder","Waarde",2020,"De Bilt","Gemeente  ","       .",5.2
"40","18 jaar of ouder","Waarde",2020,"Bladel","Gemeente  ","       .",4.8
"41","18 jaar of ouder","Waarde",2020,"Blaricum","Gemeente  ","       .",4.3
"42","18 jaar of ouder","Waarde",2020,"Bloemendaal","Gemeente  ","       .",3.7
"43","18 jaar of ouder","Waarde",2020,"Bodegraven-Reeuwijk","Gemeente  ","       .",4.9
"44","18 jaar of ouder","Waarde",2020,"Boekel","Gemeente  ","       .",4.8
"45","18 jaar of ouder","Waarde",2020,"Borger-Odoorn","Gemeente  ","       .",4.7
"46","18 jaar of ouder","Waarde",2020,"Borne","Gemeente  ","       .",4.5
"47","18 jaar of ouder","Waarde",2020,"Borsele","Gemeente  ","       .",4.8
"48","18 jaar of ouder","Waarde",2020,"Boxtel","Gemeente  ","       .",6.2
"49","18 jaar of ouder","Waarde",2020,"Breda","Gemeente  ","       .",7.6
"50","18 jaar of ouder","Waarde",2020,"Brielle","Gemeente  ","       .",5.4
"51","18 jaar of ouder","Waarde",2020,"Bronckhorst","Gemeente  ","       .",4.4
"52","18 jaar of ouder","Waarde",2020,"Brummen","Gemeente  ","       .",6
"53","18 jaar of ouder","Waarde",2020,"Brunssum","Gemeente  ","       .",9.9
"54","18 jaar of ouder","Waarde",2020,"Bunnik","Gemeente  ","       .",4
"55","18 jaar of ouder","Waarde",2020,"Bunschoten","Gemeente  ","       .",5
"56","18 jaar of ouder","Waarde",2020,"Buren","Gemeente  ","       .",4.5
"57","18 jaar of ouder","Waarde",2020,"Capelle aan den IJssel","Gemeente  ","       .",7.4
"58","18 jaar of ouder","Waarde",2020,"Castricum","Gemeente  ","       .",4.2
"59","18 jaar of ouder","Waarde",2020,"Coevorden","Gemeente  ","       .",4.9
"60","18 jaar of ouder","Waarde",2020,"Cranendonck","Gemeente  ","       .",5.6
"61","18 jaar of ouder","Waarde",2020,"Culemborg","Gemeente  ","       .",6.4
"62","18 jaar of ouder","Waarde",2020,"Dalfsen","Gemeente  ","       .",3.7
"63","18 jaar of ouder","Waarde",2020,"Dantumadiel","Gemeente  ","       .",4.4
"64","18 jaar of ouder","Waarde",2020,"Delft","Gemeente  ","       .",8.4
"65","18 jaar of ouder","Waarde",2020,"Deurne","Gemeente  ","       .",5.6
"66","18 jaar of ouder","Waarde",2020,"Deventer","Gemeente  ","       .",7.9
"67","18 jaar of ouder","Waarde",2020,"Diemen","Gemeente  ","       .",7.7
"68","18 jaar of ouder","Waarde",2020,"Dijk en Waard","Gemeente  ","       .",5.8
"69","18 jaar of ouder","Waarde",2020,"Dinkelland","Gemeente  ","       .",3.8
