"","Periode","Gemeente","Aantal_werklozen_15_27","Leeftijd","Regio_type","Psychische_klachten","Hoog_risico_angst_depressie"
"77","2020","Duiven",3600,"18 jaar of ouder","Gemeente  ",NA,6.2
"78","2020","Echt-Susteren",3600,"18 jaar of ouder","Gemeente  ",NA,6.4
"79","2020","Edam-Volendam",5400,"18 jaar of ouder","Gemeente  ",NA,4.5
"80","2020","Ede",18600,"18 jaar of ouder","Gemeente  ",NA,6
"81","2020","Eemnes",1300,"18 jaar of ouder","Gemeente  ",NA,4.6
"82","2020","Eemsdelta",5700,"18 jaar of ouder","Gemeente  ",NA,6.8
"83","2020","Eersel",2600,"18 jaar of ouder","Gemeente  ",NA,4.5
"84","2020","Eijsden-Margraten",3100,"18 jaar of ouder","Gemeente  ",NA,5.4
"85","2020","Eindhoven",41400,"18 jaar of ouder","Gemeente  ",NA,8.9
"86","2020","Elburg",3400,"18 jaar of ouder","Gemeente  ",NA,4.7
"87","2020","Emmen",14300,"18 jaar of ouder","Gemeente  ",NA,6.6
"88","2020","Enkhuizen",2400,"18 jaar of ouder","Gemeente  ",NA,6.4
"89","2020","Enschede",30800,"18 jaar of ouder","Gemeente  ",NA,8.5
"90","2020","Epe",4200,"18 jaar of ouder","Gemeente  ",NA,5.1
"91","2020","Ermelo",3800,"18 jaar of ouder","Gemeente  ",NA,5.2
"92","2020","Etten-Leur",5600,"18 jaar of ouder","Gemeente  ",NA,7
"93","2020","De Fryske Marren",6800,"18 jaar of ouder","Gemeente  ",NA,4.3
"94","2020","Geertruidenberg",2800,"18 jaar of ouder","Gemeente  ",NA,6
"95","2020","Geldrop-Mierlo",5300,"18 jaar of ouder","Gemeente  ",NA,6.8
"96","2020","Gemert-Bakel",4100,"18 jaar of ouder","Gemeente  ",NA,5.7
"97","2020","Gennep",2100,"18 jaar of ouder","Gemeente  ",NA,5.9
"98","2020","Gilze en Rijen",3600,"18 jaar of ouder","Gemeente  ",NA,6.2
"99","2020","Goeree-Overflakkee",6800,"18 jaar of ouder","Gemeente  ",NA,5.1
"100","2020","Goes",5100,"18 jaar of ouder","Gemeente  ",NA,6.3
"101","2020","Goirle",2700,"18 jaar of ouder","Gemeente  ",NA,5.6
"102","2020","Gooise Meren",7100,"18 jaar of ouder","Gemeente  ",NA,5.2
"103","2020","Gorinchem",5400,"18 jaar of ouder","Gemeente  ",NA,7.6
"104","2020","Gouda",10600,"18 jaar of ouder","Gemeente  ",NA,7.4
"105","2020","'s-Gravenhage (gemeente)",85000,NA,NA,NA,NA
"106","2020","Groningen (gemeente)",61400,NA,NA,NA,NA
"107","2020","Gulpen-Wittem",1500,"18 jaar of ouder","Gemeente  ",NA,6.5
"108","2020","Haaksbergen",3200,"18 jaar of ouder","Gemeente  ",NA,4.6
"109","2020","Haarlem",20700,"18 jaar of ouder","Gemeente  ",NA,7.1
"110","2020","Haarlemmermeer",22800,"18 jaar of ouder","Gemeente  ",NA,5.9
"111","2020","Halderberge",3800,"18 jaar of ouder","Gemeente  ",NA,6
"112","2020","Hardenberg",9300,"18 jaar of ouder","Gemeente  ",NA,4.7
"113","2020","Harderwijk",6800,"18 jaar of ouder","Gemeente  ",NA,6.5
"114","2020","Hardinxveld-Giessendam",2800,"18 jaar of ouder","Gemeente  ",NA,5.2
"115","2020","Harlingen",2100,"18 jaar of ouder","Gemeente  ",NA,5.1
"116","2020","Hattem",1600,"18 jaar of ouder","Gemeente  ",NA,4.3
"117","2020","Heemskerk",5300,"18 jaar of ouder","Gemeente  ",NA,6.1
"118","2020","Heemstede",2900,"18 jaar of ouder","Gemeente  ",NA,4.3
"119","2020","Heerde",2400,"18 jaar of ouder","Gemeente  ",NA,4.4
"120","2020","Heerenveen",6900,"18 jaar of ouder","Gemeente  ",NA,5.1
"121","2020","Heerlen",10900,"18 jaar of ouder","Gemeente  ",NA,11.5
"122","2020","Heeze-Leende",2000,"18 jaar of ouder","Gemeente  ",NA,4.3
"123","2020","Heiloo",3100,"18 jaar of ouder","Gemeente  ",NA,4.4
"124","2020","Den Helder",7200,"18 jaar of ouder","Gemeente  ",NA,6.9
"125","2020","Hellendoorn",5000,"18 jaar of ouder","Gemeente  ",NA,4.3
"126","2020","Helmond",13400,"18 jaar of ouder","Gemeente  ",NA,8.6
"127","2020","Hendrik-Ido-Ambacht",4200,"18 jaar of ouder","Gemeente  ",NA,5.6
"128","2020","Hengelo (O.)",12100,NA,NA,NA,NA
"129","2020","'s-Hertogenbosch",22500,"18 jaar of ouder","Gemeente  ",NA,7.5
"130","2020","Heumen",2200,"18 jaar of ouder","Gemeente  ",NA,5.2
"131","2020","Heusden",6100,"18 jaar of ouder","Gemeente  ",NA,6
"132","2020","Hillegom",2800,"18 jaar of ouder","Gemeente  ",NA,5.7
"133","2020","Hilvarenbeek",2100,"18 jaar of ouder","Gemeente  ",NA,4.5
"134","2020","Hilversum",11900,"18 jaar of ouder","Gemeente  ",NA,6.7
"135","2020","Hoeksche Waard",11500,"18 jaar of ouder","Gemeente  ",NA,4.9
"136","2020","Hof van Twente",4800,"18 jaar of ouder","Gemeente  ",NA,4.1
"137","2020","Het Hogeland",6200,"18 jaar of ouder","Gemeente  ",NA,4.6
"138","2020","Hollands Kroon",7000,"18 jaar of ouder","Gemeente  ",NA,4.9
"139","2020","Hoogeveen",7700,"18 jaar of ouder","Gemeente  ",NA,5.4
"140","2020","Hoorn",10300,"18 jaar of ouder","Gemeente  ",NA,6.9
"141","2020","Horst aan de Maas",6000,"18 jaar of ouder","Gemeente  ",NA,5.1
"142","2020","Houten",7000,"18 jaar of ouder","Gemeente  ",NA,5.1
"143","2020","Huizen",5200,"18 jaar of ouder","Gemeente  ",NA,6.1
"144","2020","Hulst",3100,"18 jaar of ouder","Gemeente  ",NA,6.4
"145","2020","IJsselstein",5100,"18 jaar of ouder","Gemeente  ",NA,5.8
"146","2020","Kaag en Braassem",3700,"18 jaar of ouder","Gemeente  ",NA,4.6
"147","2020","Kampen",8500,"18 jaar of ouder","Gemeente  ",NA,5.8
"148","2020","Kapelle",1800,"18 jaar of ouder","Gemeente  ",NA,5.1
"149","2020","Katwijk",9700,"18 jaar of ouder","Gemeente  ",NA,5.7
"150","2020","Kerkrade",4900,"18 jaar of ouder","Gemeente  ",NA,10.4
"151","2020","Koggenland",3400,"18 jaar of ouder","Gemeente  ",NA,4.1
"152","2020","Krimpen aan den IJssel",4200,"18 jaar of ouder","Gemeente  ",NA,6
"153","2020","Krimpenerwaard",8200,"18 jaar of ouder","Gemeente  ",NA,5.1
"154","2020","Laarbeek",3100,"18 jaar of ouder","Gemeente  ",NA,5.3
"155","2020","Land van Cuijk",12700,"18 jaar of ouder","Gemeente  ",NA,5.6
"156","2020","Landgraaf",4300,"18 jaar of ouder","Gemeente  ",NA,9.1
"157","2020","Landsmeer",1400,"18 jaar of ouder","Gemeente  ",NA,5.1
"158","2020","Lansingerland",8300,"18 jaar of ouder","Gemeente  ",NA,5
"159","2020","Laren (NH.)",1200,NA,NA,NA,NA
"160","2020","Leeuwarden",22200,"18 jaar of ouder","Gemeente  ",NA,6.7
"161","2020","Leiden",27200,"18 jaar of ouder","Gemeente  ",NA,7.8
"162","2020","Leiderdorp",3500,"18 jaar of ouder","Gemeente  ",NA,5.6
"163","2020","Leidschendam-Voorburg",8900,"18 jaar of ouder","Gemeente  ",NA,6.5
"164","2020","Lelystad",11300,"18 jaar of ouder","Gemeente  ",NA,7.7
"165","2020","Leudal",4700,"18 jaar of ouder","Gemeente  ",NA,4.8
"166","2020","Leusden",3900,"18 jaar of ouder","Gemeente  ",NA,4.7
"167","2020","Lingewaard",6200,"18 jaar of ouder","Gemeente  ",NA,5.3
"168","2020","Lisse",3000,"18 jaar of ouder","Gemeente  ",NA,5.4
"169","2020","Lochem",4000,"18 jaar of ouder","Gemeente  ",NA,4.7
"170","2020","Loon op Zand",3000,"18 jaar of ouder","Gemeente  ",NA,6
"171","2020","Lopik",2400,"18 jaar of ouder","Gemeente  ",NA,4.6
"172","2020","Losser",3100,"18 jaar of ouder","Gemeente  ",NA,4.9
"173","2020","Maasdriel",3500,"18 jaar of ouder","Gemeente  ",NA,5.2
"174","2020","Maasgouw",2800,"18 jaar of ouder","Gemeente  ",NA,5.1
"175","2020","Maashorst",8100,"18 jaar of ouder","Gemeente  ",NA,6.4
"176","2020","Maassluis",4300,"18 jaar of ouder","Gemeente  ",NA,7.7
"177","2020","Maastricht",27300,"18 jaar of ouder","Gemeente  ",NA,9.8
"178","2020","Medemblik",6200,"18 jaar of ouder","Gemeente  ",NA,4.8
"179","2020","Meerssen",2200,"18 jaar of ouder","Gemeente  ",NA,6
"180","2020","Meierijstad",11200,"18 jaar of ouder","Gemeente  ",NA,5.9
"181","2020","Meppel",5000,"18 jaar of ouder","Gemeente  ",NA,5.6
"182","2020","Middelburg (Z.)",7000,NA,NA,NA,NA
"183","2020","Midden-Delfland",2800,"18 jaar of ouder","Gemeente  ",NA,4.5
"184","2020","Midden-Drenthe",4400,"18 jaar of ouder","Gemeente  ",NA,4.1
"185","2020","Midden-Groningen",7800,"18 jaar of ouder","Gemeente  ",NA,6
"186","2020","Moerdijk",4800,"18 jaar of ouder","Gemeente  ",NA,5.6
"187","2020","Molenlanden",7100,"18 jaar of ouder","Gemeente  ",NA,4.5
"188","2020","Montferland",4800,"18 jaar of ouder","Gemeente  ",NA,5.9
"189","2020","Montfoort",2100,"18 jaar of ouder","Gemeente  ",NA,4.3
"190","2020","Mook en Middelaar",1000,"18 jaar of ouder","Gemeente  ",NA,4.4
"191","2020","Neder-Betuwe",4000,"18 jaar of ouder","Gemeente  ",NA,5.5
"192","2020","Nederweert",2300,"18 jaar of ouder","Gemeente  ",NA,5
"193","2020","Nieuwegein",8600,"18 jaar of ouder","Gemeente  ",NA,6.6
"194","2020","Nieuwkoop",3900,"18 jaar of ouder","Gemeente  ",NA,4.4
"195","2020","Nijkerk",6200,"18 jaar of ouder","Gemeente  ",NA,5.2
"196","2020","Nijmegen",38100,"18 jaar of ouder","Gemeente  ",NA,9
"197","2020","Nissewaard",11300,"18 jaar of ouder","Gemeente  ",NA,7.2
"198","2020","Noardeast-Fryslân",6300,"18 jaar of ouder","Gemeente  ",NA,4.9
"199","2020","Noord-Beveland",800,"18 jaar of ouder","Gemeente  ",NA,5.4
"200","2020","Noordenveld",3500,"18 jaar of ouder","Gemeente  ",NA,4.1
"201","2020","Noordoostpolder",6900,"18 jaar of ouder","Gemeente  ",NA,5.3
"202","2020","Noordwijk",5800,"18 jaar of ouder","Gemeente  ",NA,5.3
"203","2020","Nuenen, Gerwen en Nederwetten",2800,"18 jaar of ouder","Gemeente  ",NA,4.9
"204","2020","Nunspeet",4100,"18 jaar of ouder","Gemeente  ",NA,4.9
"205","2020","Oegstgeest",3100,"18 jaar of ouder","Gemeente  ",NA,4.8
"206","2020","Oirschot",2600,"18 jaar of ouder","Gemeente  ",NA,4.6
"207","2020","Oisterwijk",4200,"18 jaar of ouder","Gemeente  ",NA,5.2
"208","2020","Oldambt",4800,"18 jaar of ouder","Gemeente  ",NA,6.7
"209","2020","Oldebroek",3300,"18 jaar of ouder","Gemeente  ",NA,4.9
"210","2020","Oldenzaal",4200,"18 jaar of ouder","Gemeente  ",NA,5.3
"211","2020","Olst-Wijhe",2500,"18 jaar of ouder","Gemeente  ",NA,4.5
