"","X","Leeftijd","Marges","Perioden","Wijken.en.buurten","Regioaanduiding.Gemeentenaam..naam.","Regioaanduiding.Soort.regio..omschrijving.","Regioaanduiding.Codering..code.","Ervaren.gezondheid..goed.zeer.goed.....","Bewegen.Voldoet.aan.beweegrichtlijn....","Onder..en.overgewicht.Mate.van.overgewicht.Ernstig.overgewicht....","Roker....","Alcoholgebruik.Voldoet.aan.alcohol.richtlijn....","Lichamelijke.gezondheid.Eén.of.meer.langdurige.aandoeningen....","Psychische.klachten....","Veerkracht..Zeer..lage.veerkracht....","Hoog.risico.op.angst.of.depressie....","Eenzaamheid.Ernstig.zeer.ernstig.eenzaam...."
"118",18,"18 jaar of ouder","Waarde",2020,"Heemskerk","Heemskerk                               ","Gemeente  ","GM0396              ",77.8,"    56.1",16,15.9,41.2,33.4,"       .","       .",6.1,10.4
"119",19,"18 jaar of ouder","Waarde",2020,"Heemstede","Heemstede                               ","Gemeente  ","GM0397              ",81.9,"    58.3",10.6,11.9,36.7,31.7,"       .","       .",4.3,8.9
"120",20,"18 jaar of ouder","Waarde",2020,"Heerde","Heerde                                  ","Gemeente  ","GM0246              ",81.1,"    51.0",15.6,14.8,44.3,33.7,"       .","       .",4.4,8.1
"121",21,"18 jaar of ouder","Waarde",2020,"Heerenveen","Heerenveen                              ","Gemeente  ","GM0074              ",80.1,"    52.6",15.3,17.9,43.3,33,"       .","       .",5.1,8.7
"122",22,"18 jaar of ouder","Waarde",2020,"Heerlen","Heerlen                                 ","Gemeente  ","GM0917              ",67.8,"    39.8",21.1,24.4,50.5,43.4,"       .","       .",11.5,16.5
"123",23,"18 jaar of ouder","Waarde",2020,"Heeze-Leende","Heeze-Leende                            ","Gemeente  ","GM1658              ",80.7,"    51.3",12.9,12.6,37.5,30,"       .","       .",4.3,8.7
"124",24,"18 jaar of ouder","Waarde",2020,"Heiloo","Heiloo                                  ","Gemeente  ","GM0399              ",81.3,"    58.2",11.5,12.4,39.5,31.7,"       .","       .",4.4,8
"125",25,"18 jaar of ouder","Waarde",2020,"Den Helder","Den Helder                              ","Gemeente  ","GM0400              ",76,"    50.9",18.6,21.6,44.3,36.9,"       .","       .",6.9,11.1
"126",26,"18 jaar of ouder","Waarde",2020,"Hellendoorn","Hellendoorn                             ","Gemeente  ","GM0163              ",82,"    50.7",16.4,16.1,39.7,32,"       .","       .",4.3,8.5
"127",27,"18 jaar of ouder","Waarde",2020,"Hellevoetsluis","Hellevoetsluis                          ","Gemeente  ","GM0530              ",77.2,"    42.6",18.8,17.9,46.2,34.8,"       .","       .",6.5,11.1
"128",28,"18 jaar of ouder","Waarde",2020,"Helmond","Helmond                                 ","Gemeente  ","GM0794              ",75.4,"    48.4",17.6,19.6,44.1,34.3,"       .","       .",8.6,12.8
"129",29,"18 jaar of ouder","Waarde",2020,"Hendrik-Ido-Ambacht","Hendrik-Ido-Ambacht                     ","Gemeente  ","GM0531              ",80.5,"    44.1",16.6,14,50.1,30.6,"       .","       .",5.6,9.1
"130",30,"18 jaar of ouder","Waarde",2020,"Hengelo","Hengelo                                 ","Gemeente  ","GM0164              ",78.7,"    52.9",17.8,20.3,41.7,33.1,"       .","       .",7,11.9
"131",31,"18 jaar of ouder","Waarde",2020,"'s-Hertogenbosch","'s-Hertogenbosch                        ","Gemeente  ","GM0796              ",78.1,"    47.9",15.3,18.4,38.9,32.1,"       .","       .",7.5,11.3
"132",32,"18 jaar of ouder","Waarde",2020,"Heumen","Heumen                                  ","Gemeente  ","GM0252              ",78.8,"    52.4",13.6,13.7,40.3,33.3,"       .","       .",5.2,9.1
"133",33,"18 jaar of ouder","Waarde",2020,"Heusden","Heusden                                 ","Gemeente  ","GM0797              ",79,"    45.7",16.7,16.2,40.7,31.6,"       .","       .",6,9.8
