"","Leeftijd","Marges","Perioden","Wijken.en.buurten","Regioaanduiding.Gemeentenaam..naam.","Regioaanduiding.Soort.regio..omschrijving.","Regioaanduiding.Codering..code.","Ervaren.gezondheid..goed.zeer.goed.....","Bewegen.Voldoet.aan.beweegrichtlijn....","Onder..en.overgewicht.Mate.van.overgewicht.Ernstig.overgewicht....","Roker....","Alcoholgebruik.Voldoet.aan.alcohol.richtlijn....","Lichamelijke.gezondheid.Eén.of.meer.langdurige.aandoeningen....","Psychische.klachten....","Veerkracht..Zeer..lage.veerkracht....","Hoog.risico.op.angst.of.depressie....","Eenzaamheid.Ernstig.zeer.ernstig.eenzaam...."
"53","18 jaar of ouder","Waarde",2022,"Koggenland","Koggenland                              ","Gemeente  ","GM1598              ",73.8,50.3,13.6,14.6,33.9,29.3,17,13.7,7.2,10.4
"54","18 jaar of ouder","Waarde",2022,"Krimpen aan den IJssel","Krimpen aan den IJssel                  ","Gemeente  ","GM0542              ",68.1,40.2,17.9,15.6,50.5,34.8,21,16.9,9.3,13.2
"55","18 jaar of ouder","Waarde",2022,"Krimpenerwaard","Krimpenerwaard                          ","Gemeente  ","GM1931              ",71.7,42.2,16.8,15.1,46.8,31.6,18.6,15.3,8,11.5
"56","18 jaar of ouder","Waarde",2022,"Laarbeek","Laarbeek                                ","Gemeente  ","GM1659              ",70.7,45.5,15.9,14.8,36.6,32,17.2,14.5,7.3,10.9
"57","18 jaar of ouder","Waarde",2022,"Land van Cuijk","Land van Cuijk                          ","Gemeente  ","GM1982              ",70.4,46.2,16,14.6,39.5,33.3,17.8,15,7.7,11.4
"58","18 jaar of ouder","Waarde",2022,"Landgraaf","Landgraaf                               ","Gemeente  ","GM0882              ",60,36.9,20.9,19.7,48.3,42.5,24.9,19.5,11.2,15.1
"59","18 jaar of ouder","Waarde",2022,"Landsmeer","Landsmeer                               ","Gemeente  ","GM0415              ",73.3,47.5,14.2,15.1,38.2,31.8,18.8,14.9,7.9,11.4
"60","18 jaar of ouder","Waarde",2022,"Lansingerland","Lansingerland                           ","Gemeente  ","GM1621              ",73.8,45.9,14.7,13.7,44.4,30.4,18.5,14.4,7.8,11.7
"61","18 jaar of ouder","Waarde",2022,"Laren","Laren                                   ","Gemeente  ","GM0417              ",74.6,49.5,11.5,12.5,36.3,31.9,15.8,12,6,10.6
"62","18 jaar of ouder","Waarde",2022,"Leeuwarden","Leeuwarden                              ","Gemeente  ","GM0080              ",69.4,49,15.7,21.9,42.8,32.6,22.3,16.2,10.2,14.5
"63","18 jaar of ouder","Waarde",2022,"Leiden","Leiden                                  ","Gemeente  ","GM0546              ",69.9,54.2,12.7,19.3,39.3,31.7,26.3,18.4,12.5,16.2
"64","18 jaar of ouder","Waarde",2022,"Leiderdorp","Leiderdorp                              ","Gemeente  ","GM0547              ",70.8,49.1,15.2,14.9,42.9,33.5,20.2,15.4,8.8,13.1
"65","18 jaar of ouder","Waarde",2022,"Leidschendam-Voorburg","Leidschendam-Voorburg                   ","Gemeente  ","GM1916              ",69.7,47.7,14.8,15.4,44.8,34.2,22.6,16.9,10,15.5
"66","18 jaar of ouder","Waarde",2022,"Lelystad","Lelystad                                ","Gemeente  ","GM0995              ",66.7,45.7,18.9,20.9,50.7,34.6,23.6,20.1,11.5,15.9
"67","18 jaar of ouder","Waarde",2022,"Leudal","Leudal                                  ","Gemeente  ","GM1640              ",69.4,44.3,15.7,14.4,40.2,33.9,18.8,14.7,7.3,11.9
"68","18 jaar of ouder","Waarde",2022,"Leusden","Leusden                                 ","Gemeente  ","GM0327              ",73.8,48.7,14.2,14.1,43.4,32.2,17.1,13.5,7.3,10.8
"69","18 jaar of ouder","Waarde",2022,"Lingewaard","Lingewaard                              ","Gemeente  ","GM1705              ",71.9,48.1,16.2,14.2,39.1,33.5,17,14.2,7.2,10.7
"70","18 jaar of ouder","Waarde",2022,"Lisse","Lisse                                   ","Gemeente  ","GM0553              ",71.3,47.5,15.6,15.4,40.6,32.7,19.2,15.2,8.3,12.2
"71","18 jaar of ouder","Waarde",2022,"Lochem","Lochem                                  ","Gemeente  ","GM0262              ",74.1,47.7,15.1,13.4,38.7,32.6,15.2,13.3,6.5,10.2
"72","18 jaar of ouder","Waarde",2022,"Loon op Zand","Loon op Zand                            ","Gemeente  ","GM0809              ",69.1,42,18.5,16,39.5,33.6,19.1,15.8,8.2,12.2
"73","18 jaar of ouder","Waarde",2022,"Lopik","Lopik                                   ","Gemeente  ","GM0331              ",73.7,44.6,15.7,15.1,41.4,29.3,17.5,14.2,7.4,10.5
"74","18 jaar of ouder","Waarde",2022,"Losser","Losser                                  ","Gemeente  ","GM0168              ",69.4,47.7,20.1,15.3,35,32,20.4,16.5,8.2,12.1
"75","18 jaar of ouder","Waarde",2022,"Maasdriel","Maasdriel                               ","Gemeente  ","GM0263              ",71.6,41.7,16.6,16.9,38.5,31.1,18.3,15,7.7,11.9
"76","18 jaar of ouder","Waarde",2022,"Maasgouw","Maasgouw                                ","Gemeente  ","GM1641              ",68.2,41.7,16.1,14.8,42.3,35.2,19.3,15.1,7.6,12.2
"77","18 jaar of ouder","Waarde",2022,"Maashorst","Maashorst                               ","Gemeente  ","GM1991              ",70.1,45.1,15.9,15.4,38.6,32.8,18.9,15.5,8.5,12.2
"78","18 jaar of ouder","Waarde",2022,"Maassluis","Maassluis                               ","Gemeente  ","GM0556              ",65,43.4,19.8,17.7,48.8,35.9,24.9,18.8,11.5,15.8
"79","18 jaar of ouder","Waarde",2022,"Maastricht","Maastricht                              ","Gemeente  ","GM0935              ",65.8,47.3,15.7,21.3,40.9,35.9,28.6,19,13.5,18
"80","18 jaar of ouder","Waarde",2022,"Medemblik","Medemblik                               ","Gemeente  ","GM0420              ",71.4,49.4,14.9,15.9,36.8,31.5,18.3,14.9,8,11.9
"81","18 jaar of ouder","Waarde",2022,"Meerssen","Meerssen                                ","Gemeente  ","GM0938              ",67.7,41.7,17.4,13.9,42.2,35.9,20,14.5,8,12.4
"82","18 jaar of ouder","Waarde",2022,"Meierijstad","Meierijstad                             ","Gemeente  ","GM1948              ",70.7,45.2,15.8,15.4,37.9,32.1,18.4,15.3,8.1,12
