"","Leeftijd","Marges","Perioden","Wijken.en.buurten","Regioaanduiding.Gemeentenaam..naam.","Regioaanduiding.Soort.regio..omschrijving.","Regioaanduiding.Codering..code.","Ervaren.gezondheid..goed.zeer.goed.....","Bewegen.Voldoet.aan.beweegrichtlijn....","Onder..en.overgewicht.Mate.van.overgewicht.Ernstig.overgewicht....","Roker....","Alcoholgebruik.Voldoet.aan.alcohol.richtlijn....","Lichamelijke.gezondheid.Eén.of.meer.langdurige.aandoeningen....","Psychische.klachten....","Veerkracht..Zeer..lage.veerkracht....","Hoog.risico.op.angst.of.depressie....","Eenzaamheid.Ernstig.zeer.ernstig.eenzaam...."
"11","18 jaar of ouder","Waarde",2020,"Alphen aan den Rijn","Alphen aan den Rijn                     ","Gemeente  ","GM0484              ",80.8,"    48.4",15.2,16.1,44.3,32.1,"       .","       .",5.9,10
"12","18 jaar of ouder","Waarde",2020,"Alphen-Chaam","Alphen-Chaam                            ","Gemeente  ","GM1723              ",80.7,"    49.9",13.7,12,37,29.3,"       .","       .",4.2,8.9
"13","18 jaar of ouder","Waarde",2020,"Altena","Altena                                  ","Gemeente  ","GM1959              ",80.3,"    44.7",16.4,15.5,47.5,30.5,"       .","       .",4.9,8.5
"14","18 jaar of ouder","Waarde",2020,"Ameland","Ameland                                 ","Gemeente  ","GM0060              ",81.6,"    62.4",14,19.2,37.6,30.9,"       .","       .",4,6.8
"15","18 jaar of ouder","Waarde",2020,"Amersfoort","Amersfoort                              ","Gemeente  ","GM0307              ",80.3,"       .",13.6,17.6,44.6,31.4,"       .","       .",6.7,10.5
"16","18 jaar of ouder","Waarde",2020,"Amstelveen","Amstelveen                              ","Gemeente  ","GM0362              ",80.5,"    48.9",12.7,15,45.2,28.9,"       .","       .",6.2,12.2
"17","18 jaar of ouder","Waarde",2020,"Amsterdam","Amsterdam                               ","Gemeente  ","GM0363              ",78.2,"    55.8",12.5,23,41.8,29.8,"       .","       .",9.4,14.9
"18","18 jaar of ouder","Waarde",2020,"Apeldoorn","Apeldoorn                               ","Gemeente  ","GM0200              ",79.2,"    50.5",16.4,18.3,45.1,34,"       .","       .",6.7,10.7
"19","18 jaar of ouder","Waarde",2020,"Arnhem","Arnhem                                  ","Gemeente  ","GM0202              ",76.6,"    52.8",16.3,22.7,43.6,34.4,"       .","       .",9.7,14
"20","18 jaar of ouder","Waarde",2020,"Assen","Assen                                   ","Gemeente  ","GM0106              ",78.1,"    49.2",17.1,18.7,44.8,35,"       .","       .",5.5,10.2
"21","18 jaar of ouder","Waarde",2020,"Asten","Asten                                   ","Gemeente  ","GM0743              ",79.3,"    51.3",14.1,14.6,38.4,31.5,"       .","       .",5.6,9.6
"22","18 jaar of ouder","Waarde",2020,"Baarle-Nassau","Baarle-Nassau                           ","Gemeente  ","GM0744              ",77,"    47.8",16.7,13.7,40,31.7,"       .","       .",4.9,10.3
"23","18 jaar of ouder","Waarde",2020,"Baarn","Baarn                                   ","Gemeente  ","GM0308              ",80.4,"       .",13.5,15.5,42,33.2,"       .","       .",5.4,9.6
"24","18 jaar of ouder","Waarde",2020,"Barendrecht","Barendrecht                             ","Gemeente  ","GM0489              ",80.5,"    42.9",16.6,14.1,50.8,30.5,"       .","       .",5.7,10
"25","18 jaar of ouder","Waarde",2020,"Barneveld","Barneveld                               ","Gemeente  ","GM0203              ",82.6,"    52.3",14.1,15.9,46.2,29.6,"       .","       .",5.2,8.6
"26","18 jaar of ouder","Waarde",2020,"Beek","Beek                                    ","Gemeente  ","GM0888              ",74.2,"    45.5",17.1,16.7,45.8,36.9,"       .","       .",6.9,11.9
"27","18 jaar of ouder","Waarde",2020,"Beekdaelen","Beekdaelen                              ","Gemeente  ","GM1954              ",73.9,"    43.3",17.6,16.8,44.4,37.6,"       .","       .",7,11.5
"28","18 jaar of ouder","Waarde",2020,"Beesel","Beesel                                  ","Gemeente  ","GM0889              ",75.5,"    52.8",17.8,17,43.2,36.4,"       .","       .",6,10.7
"29","18 jaar of ouder","Waarde",2020,"Berg en Dal","Berg en Dal                             ","Gemeente  ","GM1945              ",75.8,"    50.1",16.3,16.2,40,35.3,"       .","       .",5.8,10
"30","18 jaar of ouder","Waarde",2020,"Bergeijk","Bergeijk                                ","Gemeente  ","GM1724              ",79.9,"    49.5",14.7,13.7,37.9,29.6,"       .","       .",4.6,9.2
"31","18 jaar of ouder","Waarde",2020,"Bergen (L.)","Bergen (L.)                             ","Gemeente  ","GM0893              ",76.7,"    51.3",17.3,16.5,39.9,34.5,"       .","       .",5.2,9.6
"32","18 jaar of ouder","Waarde",2020,"Bergen (NH.)","Bergen (NH.)                            ","Gemeente  ","GM0373              ",80.1,"    56.3",11.2,13,39.1,32.8,"       .","       .",4,8.3
