"","Leeftijd","Marges","Perioden","Wijken.en.buurten","Regioaanduiding.Gemeentenaam..naam.","Regioaanduiding.Soort.regio..omschrijving.","Regioaanduiding.Codering..code.","Ervaren.gezondheid..goed.zeer.goed.....","Bewegen.Voldoet.aan.beweegrichtlijn....","Onder..en.overgewicht.Mate.van.overgewicht.Ernstig.overgewicht....","Roker....","Alcoholgebruik.Voldoet.aan.alcohol.richtlijn....","Lichamelijke.gezondheid.Eén.of.meer.langdurige.aandoeningen....","Psychische.klachten....","Veerkracht..Zeer..lage.veerkracht....","Hoog.risico.op.angst.of.depressie....","Eenzaamheid.Ernstig.zeer.ernstig.eenzaam...."
"1","18 jaar of ouder","Waarde",2022,"Vlissingen","Vlissingen                              ","Gemeente  ","GM0718              ",65.7,46.9,18,19.7,47.6,38.4,22.6,18.6,10.2,17.5
"2","18 jaar of ouder","Waarde",2022,"Voerendaal","Voerendaal                              ","Gemeente  ","GM0986              ",67.7,37.5,16.6,14.3,45.7,36.7,19.9,14.8,8.5,12.4
"3","18 jaar of ouder","Waarde",2022,"Voorschoten","Voorschoten                             ","Gemeente  ","GM0626              ",72.2,50,13.7,13.5,42.7,33.3,18.8,14.5,8,12.5
"4","18 jaar of ouder","Waarde",2022,"Voorst","Voorst                                  ","Gemeente  ","GM0285              ",73.1,47.6,15.1,13.6,40.4,32.5,15.6,13.9,6.7,9.8
"5","18 jaar of ouder","Waarde",2022,"Vught","Vught                                   ","Gemeente  ","GM0865              ",72.5,46.1,14.7,14.7,35.9,32.2,17.7,13.8,7.3,11.3
"6","18 jaar of ouder","Waarde",2022,"Waadhoeke","Waadhoeke                               ","Gemeente  ","GM1949              ",70.9,48.4,17.2,19.5,41.7,33.4,17.1,14.9,7.7,11.9
"7","18 jaar of ouder","Waarde",2022,"Waalre","Waalre                                  ","Gemeente  ","GM0866              ",71.9,47.2,14.2,12.6,37.8,32.3,17.4,13.6,6.7,11.7
"8","18 jaar of ouder","Waarde",2022,"Waalwijk","Waalwijk                                ","Gemeente  ","GM0867              ",67.9,40.2,18.4,18.1,42.2,33.8,21.4,17.5,9.7,14.1
"9","18 jaar of ouder","Waarde",2022,"Waddinxveen","Waddinxveen                             ","Gemeente  ","GM0627              ",70.9,43.9,17.2,16,48.6,32.1,20.4,15.9,9.1,12.7
"10","18 jaar of ouder","Waarde",2022,"Wageningen","Wageningen                              ","Gemeente  ","GM0289              ",72,55.6,12.4,17.8,43.2,31.3,25.4,18.2,11.9,15.6
"11","18 jaar of ouder","Waarde",2022,"Wassenaar","Wassenaar                               ","Gemeente  ","GM0629              ",71.8,50.6,14,14.2,42.3,32.7,19.2,14.6,8.2,13.7
"12","18 jaar of ouder","Waarde",2022,"Waterland","Waterland                               ","Gemeente  ","GM0852              ",72.9,46,14.5,14.1,36.3,31.8,17.7,14.1,7,10.9
"13","18 jaar of ouder","Waarde",2022,"Weert","Weert                                   ","Gemeente  ","GM0988              ",67.3,44.2,16.6,16.1,43.1,34.1,21.7,16.7,9.3,14.4
"14","18 jaar of ouder","Waarde",2022,"Weesp","Weesp                                   ","Gemeente  ","GM0457              ",71.2,47.6,14.7,16.2,41.6,32.3,22.7,16.9,9.7,14.1
"15","18 jaar of ouder","Waarde",2022,"West Betuwe","West Betuwe                             ","Gemeente  ","GM1960              ",72.7,43.8,16.2,15.4,43.5,30.8,17.3,14.4,7.3,10.5
"16","18 jaar of ouder","Waarde",2022,"West Maas en Waal","West Maas en Waal                       ","Gemeente  ","GM0668              ",71.3,43.6,16.5,15.3,40.3,31.9,17.2,14.7,7.3,10.7
"17","18 jaar of ouder","Waarde",2022,"Westerkwartier","Westerkwartier                          ","Gemeente  ","GM1969              ",73.5,46.1,16.2,16.9,41.7,31.8,16.4,14.5,6.8,10.6
