"","Leeftijd","Marges","Perioden","Wijken.en.buurten","Regioaanduiding.Gemeentenaam..naam.","Regioaanduiding.Soort.regio..omschrijving.","Regioaanduiding.Codering..code.","Ervaren.gezondheid..goed.zeer.goed.....","Bewegen.Voldoet.aan.beweegrichtlijn....","Onder..en.overgewicht.Mate.van.overgewicht.Ernstig.overgewicht....","Roker....","Alcoholgebruik.Voldoet.aan.alcohol.richtlijn....","Lichamelijke.gezondheid.Eén.of.meer.langdurige.aandoeningen....","Psychische.klachten....","Veerkracht..Zeer..lage.veerkracht....","Hoog.risico.op.angst.of.depressie....","Eenzaamheid.Ernstig.zeer.ernstig.eenzaam...."
"79","18 jaar of ouder","Waarde",2022,"Tubbergen","Tubbergen                               ","Gemeente  ","GM0183              ",75.4,47.8,15,14.4,33.5,28.4,14.8,14,6,9.1
"80","18 jaar of ouder","Waarde",2022,"Twenterand","Twenterand                              ","Gemeente  ","GM1700              ",71.8,46.5,18.9,17.5,40.3,31.9,16.8,16.5,7.9,10.7
"81","18 jaar of ouder","Waarde",2022,"Tynaarlo","Tynaarlo                                ","Gemeente  ","GM1730              ",74,50.1,14.7,13.3,41.8,32.7,15.1,13,5.9,9.7
"82","18 jaar of ouder","Waarde",2022,"Tytsjerksteradiel","Tytsjerksteradiel                       ","Gemeente  ","GM0737              ",72.8,44.9,15.6,16.8,43,32.1,16.4,14.4,6.7,10.7
"83","18 jaar of ouder","Waarde",2022,"Uitgeest","Uitgeest                                ","Gemeente  ","GM0450              ",73.7,53.6,13.8,13.4,36.2,30.3,17.8,13.9,7.7,11
"84","18 jaar of ouder","Waarde",2022,"Uithoorn","Uithoorn                                ","Gemeente  ","GM0451              ",71,45.8,15.8,16.5,42.8,31.6,21.5,16.3,9.5,14.2
"85","18 jaar of ouder","Waarde",2022,"Urk","Urk                                     ","Gemeente  ","GM0184              ",74.8,49.6,16.5,17.9,51.7,26.6,16.9,15.9,7.8,9.8
"86","18 jaar of ouder","Waarde",2022,"Utrecht","Utrecht                                 ","Gemeente  ","GM0344              ",71.8,54,12.3,19.5,38.6,29.8,27,18.3,12.6,15.6
"87","18 jaar of ouder","Waarde",2022,"Utrechtse Heuvelrug","Utrechtse Heuvelrug                     ","Gemeente  ","GM1581              ",72.9,47,14.3,13.8,44.9,33.1,17.3,13.8,7.2,10.9
"88","18 jaar of ouder","Waarde",2022,"Vaals","Vaals                                   ","Gemeente  ","GM0981              ",62.8,37.2,17.9,19.8,44.2,40.9,24.8,18.3,11.4,16.5
"89","18 jaar of ouder","Waarde",2022,"Valkenburg aan de Geul","Valkenburg aan de Geul                  ","Gemeente  ","GM0994              ",66.4,38.3,17,15.3,43.3,37.2,21.5,15.7,8.9,13.6
"90","18 jaar of ouder","Waarde",2022,"Valkenswaard","Valkenswaard                            ","Gemeente  ","GM0858              ",67.4,43.9,17.3,16,39.3,34.8,20.3,16.1,8.7,13.2
"91","18 jaar of ouder","Waarde",2022,"Veendam","Veendam                                 ","Gemeente  ","GM0047              ",64.5,41.3,24.2,19.9,48.5,38.2,22.2,18.4,11,14.9
"92","18 jaar of ouder","Waarde",2022,"Veenendaal","Veenendaal                              ","Gemeente  ","GM0345              ",69.6,46.3,17,17.3,50.1,33.5,20.8,16.9,9.9,12.9
"93","18 jaar of ouder","Waarde",2022,"Veere","Veere                                   ","Gemeente  ","GM0717              ",75,51,13,13.5,47.4,32.7,14.8,12.8,5.7,10.7
"94","18 jaar of ouder","Waarde",2022,"Veldhoven","Veldhoven                               ","Gemeente  ","GM0861              ",69.8,44.9,15.7,14.7,40.6,32.9,19.6,15.3,8.3,13.2
"95","18 jaar of ouder","Waarde",2022,"Velsen","Velsen                                  ","Gemeente  ","GM0453              ",68.7,48.1,16.7,17.7,40.4,33.4,21.2,16.9,10.1,13.8
"96","18 jaar of ouder","Waarde",2022,"Venlo","Venlo                                   ","Gemeente  ","GM0983              ",65.2,44.8,19,19.5,41.9,38,23.7,18.4,11,15.9
"97","18 jaar of ouder","Waarde",2022,"Venray","Venray                                  ","Gemeente  ","GM0984              ",68.5,44.7,16.7,16.5,41.4,34.4,20.5,16.4,9,13.3
"98","18 jaar of ouder","Waarde",2022,"Vijfheerenlanden","Vijfheerenlanden                        ","Gemeente  ","GM1961              ",70.1,43.1,17.5,16.7,46.5,32.4,19.9,16.5,9.1,12.5
"99","18 jaar of ouder","Waarde",2022,"Vlaardingen","Vlaardingen                             ","Gemeente  ","GM0622              ",64.3,44.3,19.8,20.1,51.4,36.2,26.9,20.3,12.8,17.6
"100","18 jaar of ouder","Waarde",2022,"Vlieland","Vlieland                                ","Gemeente  ","GM0096              ",75.1,72.6,17.7,19.8,30.1,30.1,17.3,14.2,9,14.2
