"","Leeftijd","Marges","Perioden","Wijken.en.buurten","Regioaanduiding.Gemeentenaam..naam.","Regioaanduiding.Soort.regio..omschrijving.","Regioaanduiding.Codering..code.","Ervaren.gezondheid..goed.zeer.goed.....","Bewegen.Voldoet.aan.beweegrichtlijn....","Onder..en.overgewicht.Mate.van.overgewicht.Ernstig.overgewicht....","Roker....","Alcoholgebruik.Voldoet.aan.alcohol.richtlijn....","Lichamelijke.gezondheid.Eén.of.meer.langdurige.aandoeningen....","Psychische.klachten....","Veerkracht..Zeer..lage.veerkracht....","Hoog.risico.op.angst.of.depressie....","Eenzaamheid.Ernstig.zeer.ernstig.eenzaam...."
"1","18 jaar of ouder","Waarde",2020,"Goes","Goes                                    ","Gemeente  ","GM0664              ",76.5,"    50.6",14.4,16.7,51.5,34.1,"       .","       .",6.3,12.3
"2","18 jaar of ouder","Waarde",2020,"Goirle","Goirle                                  ","Gemeente  ","GM0785              ",78.9,"    48.9",17.1,14.1,38.4,32.6,"       .","       .",5.6,9.9
"3","18 jaar of ouder","Waarde",2020,"Gooise Meren","Gooise Meren                            ","Gemeente  ","GM1942              ",81.7,"    50.5",11.6,14.9,38.8,31.6,"       .","       .",5.2,9.4
"4","18 jaar of ouder","Waarde",2020,"Gorinchem","Gorinchem                               ","Gemeente  ","GM0512              ",77,"    44.8",18.2,18.4,52.7,33.7,"       .","       .",7.6,11.9
"5","18 jaar of ouder","Waarde",2020,"Gouda","Gouda                                   ","Gemeente  ","GM0513              ",78.3,"    48.7",16,16.9,50.6,33.9,"       .","       .",7.4,11.2
"6","18 jaar of ouder","Waarde",2020,"'s-Gravenhage","'s-Gravenhage                           ","Gemeente  ","GM0518              ",75.3,"    48.8",15.9,20.8,51.9,32.7,"       .","       .",10,16
"7","18 jaar of ouder","Waarde",2020,"Groningen","Groningen                               ","Gemeente  ","GM0014              ",79.7,"    56.0",12.3,23.9,37.1,29,"       .","       .",7.1,12.3
"8","18 jaar of ouder","Waarde",2020,"Gulpen-Wittem","Gulpen-Wittem                           ","Gemeente  ","GM1729              ",75.2,"    41.9",16,15.7,42.4,36.2,"       .","       .",6.5,11.1
"9","18 jaar of ouder","Waarde",2020,"Haaksbergen","Haaksbergen                             ","Gemeente  ","GM0158              ",81.2,"    54.5",16.2,15.4,36.1,30.3,"       .","       .",4.6,9.3
"10","18 jaar of ouder","Waarde",2020,"Haarlem","Haarlem                                 ","Gemeente  ","GM0392              ",79.6,"    58.6",13.1,17.9,39.9,31,"       .","       .",7.1,11.8
"11","18 jaar of ouder","Waarde",2020,"Haarlemmermeer","Haarlemmermeer                          ","Gemeente  ","GM0394              ",81.3,"    51.0",14.3,15.1,43.4,30.2,"       .","       .",5.9,10.4
"12","18 jaar of ouder","Waarde",2020,"Halderberge","Halderberge                             ","Gemeente  ","GM1655              ",77.2,"    46.3",17.8,15.4,45.5,32.3,"       .","       .",6,10.5
"13","18 jaar of ouder","Waarde",2020,"Hardenberg","Hardenberg                              ","Gemeente  ","GM0160              ",81.5,"    48.6",17.6,17.8,39.2,31.3,"       .","       .",4.7,8.8
"14","18 jaar of ouder","Waarde",2020,"Harderwijk","Harderwijk                              ","Gemeente  ","GM0243              ",78.9,"    50.3",15.9,17.8,49.4,33.3,"       .","       .",6.5,10.8
"15","18 jaar of ouder","Waarde",2020,"Hardinxveld-Giessendam","Hardinxveld-Giessendam                  ","Gemeente  ","GM0523              ",80.7,"    44.5",16.2,14.7,51.1,30.4,"       .","       .",5.2,8.7
"16","18 jaar of ouder","Waarde",2020,"Harlingen","Harlingen                               ","Gemeente  ","GM0072              ",78.1,"    55.3",17.2,20.6,42.9,35.3,"       .","       .",5.1,8.7
"17","18 jaar of ouder","Waarde",2020,"Hattem","Hattem                                  ","Gemeente  ","GM0244              ",81.5,"    52.1",15.2,15,43,32.4,"       .","       .",4.3,8.4
"18","18 jaar of ouder","Waarde",2020,"Heemskerk","Heemskerk                               ","Gemeente  ","GM0396              ",77.8,"    56.1",16,15.9,41.2,33.4,"       .","       .",6.1,10.4
