"","Geslacht","Leeftijd","Hoogst.behaald.onderwijsniveau","Perioden","Beroepsbevolking.Werkloosheidspercentage...."
"71","Mannen","15 tot 20 jaar","Totaal",2020,13.4
"72","Mannen","15 tot 20 jaar","Totaal",2021,12.2
"73","Mannen","15 tot 20 jaar","Totaal",2022,8.9
"74","Mannen","15 tot 20 jaar","Totaal",2023,10.3
"75","Mannen","15 tot 20 jaar","Totaal",2024,11.2
"76","Mannen","20 tot 25 jaar","Totaal",2020,9.7
"77","Mannen","20 tot 25 jaar","Totaal",2021,7.7
"78","Mannen","20 tot 25 jaar","Totaal",2022,6
"79","Mannen","20 tot 25 jaar","Totaal",2023,6.7
"80","Mannen","20 tot 25 jaar","Totaal",2024,7
"81","Mannen","25 tot 30 jaar","Totaal",2020,4.5
"82","Mannen","25 tot 30 jaar","Totaal",2021,3.6
"83","Mannen","25 tot 30 jaar","Totaal",2022,4.7
"84","Mannen","25 tot 30 jaar","Totaal",2023,4.1
"85","Mannen","25 tot 30 jaar","Totaal",2024,3.9
"86","Mannen","30 tot 35 jaar","Totaal",2020,2.9
"87","Mannen","30 tot 35 jaar","Totaal",2021,2.8
"88","Mannen","30 tot 35 jaar","Totaal",2022,2.3
"89","Mannen","30 tot 35 jaar","Totaal",2023,2.6
"90","Mannen","30 tot 35 jaar","Totaal",2024,2.7
"91","Mannen","35 tot 40 jaar","Totaal",2020,3
"92","Mannen","35 tot 40 jaar","Totaal",2021,2
"93","Mannen","35 tot 40 jaar","Totaal",2022,1.9
"94","Mannen","35 tot 40 jaar","Totaal",2023,2
"95","Mannen","35 tot 40 jaar","Totaal",2024,2.1
"96","Mannen","40 tot 45 jaar","Totaal",2020,2.7
"97","Mannen","40 tot 45 jaar","Totaal",2021,2.7
"98","Mannen","40 tot 45 jaar","Totaal",2022,2.1
"99","Mannen","40 tot 45 jaar","Totaal",2023,2
"100","Mannen","40 tot 45 jaar","Totaal",2024,2.2
"101","Mannen","45 tot 50 jaar","Totaal",2020,2.2
"102","Mannen","45 tot 50 jaar","Totaal",2021,2.2
"103","Mannen","45 tot 50 jaar","Totaal",2022,1.2
"104","Mannen","45 tot 50 jaar","Totaal",2023,1.7
"105","Mannen","45 tot 50 jaar","Totaal",2024,1.6
"106","Mannen","50 tot 55 jaar","Totaal",2020,2.9
"107","Mannen","50 tot 55 jaar","Totaal",2021,2.6
"108","Mannen","50 tot 55 jaar","Totaal",2022,1.7
"109","Mannen","50 tot 55 jaar","Totaal",2023,1.7
"110","Mannen","50 tot 55 jaar","Totaal",2024,1.6
"111","Mannen","55 tot 60 jaar","Totaal",2020,3.3
"112","Mannen","55 tot 60 jaar","Totaal",2021,2.9
"113","Mannen","55 tot 60 jaar","Totaal",2022,1.7
"114","Mannen","55 tot 60 jaar","Totaal",2023,1.7
"115","Mannen","55 tot 60 jaar","Totaal",2024,1.9
"116","Mannen","60 tot 65 jaar","Totaal",2020,4.4
"117","Mannen","60 tot 65 jaar","Totaal",2021,3.9
"118","Mannen","60 tot 65 jaar","Totaal",2022,3.5
"119","Mannen","60 tot 65 jaar","Totaal",2023,2.3
"120","Mannen","60 tot 65 jaar","Totaal",2024,2.6
"121","Mannen","65 tot 70 jaar","Totaal",2020,6
"122","Mannen","65 tot 70 jaar","Totaal",2021,3.2
"123","Mannen","65 tot 70 jaar","Totaal",2022,5.1
"124","Mannen","65 tot 70 jaar","Totaal",2023,4.4
"125","Mannen","65 tot 70 jaar","Totaal",2024,3.4
"126","Mannen","70 tot 75 jaar","Totaal",2020,2.7
"127","Mannen","70 tot 75 jaar","Totaal",2021,3.8
"128","Mannen","70 tot 75 jaar","Totaal",2022,2.2
"129","Mannen","70 tot 75 jaar","Totaal",2023,1.9
"130","Mannen","70 tot 75 jaar","Totaal",2024,2.6
"131","Vrouwen","15 tot 75 jaar","Totaal",2020,5.1
