"","Leeftijd","Marges","Perioden","Wijken.en.buurten","Regioaanduiding.Gemeentenaam..naam.","Regioaanduiding.Soort.regio..omschrijving.","Regioaanduiding.Codering..code.","Ervaren.gezondheid..goed.zeer.goed.....","Bewegen.Voldoet.aan.beweegrichtlijn....","Onder..en.overgewicht.Mate.van.overgewicht.Ernstig.overgewicht....","Roker....","Alcoholgebruik.Voldoet.aan.alcohol.richtlijn....","Lichamelijke.gezondheid.Eén.of.meer.langdurige.aandoeningen....","Psychische.klachten....","Veerkracht..Zeer..lage.veerkracht....","Hoog.risico.op.angst.of.depressie....","Eenzaamheid.Ernstig.zeer.ernstig.eenzaam...."
"1","18 jaar of ouder","Waarde",2020,"Noardeast-Fryslân","Noardeast-Fryslân                       ","Gemeente  ","GM1970              ",79.9,"    47.8",15.8,18.8,43,33.1,"       .","       .",4.9,8.4
"2","18 jaar of ouder","Waarde",2020,"Noord-Beveland","Noord-Beveland                          ","Gemeente  ","GM1695              ",75.8,"    45.5",16.2,17,46.9,35.4,"       .","       .",5.4,10.5
"3","18 jaar of ouder","Waarde",2020,"Noordenveld","Noordenveld                             ","Gemeente  ","GM1699              ",79.7,"    49.4",14.7,14.8,44.4,35.2,"       .","       .",4.1,8.5
"4","18 jaar of ouder","Waarde",2020,"Noordoostpolder","Noordoostpolder                         ","Gemeente  ","GM0171              ",81.2,"    48.2",16.2,18.6,47.2,31.9,"       .","       .",5.3,8.7
"5","18 jaar of ouder","Waarde",2020,"Noordwijk","Noordwijk                               ","Gemeente  ","GM0575              ",82.3,"    53.1",14.4,16.4,37.4,30.3,"       .","       .",5.3,9.8
"6","18 jaar of ouder","Waarde",2020,"Nuenen, Gerwen en Nederwetten","Nuenen, Gerwen en Nederwetten           ","Gemeente  ","GM0820              ",80,"    51.3",13.5,12.7,38.5,31.6,"       .","       .",4.9,9.2
"7","18 jaar of ouder","Waarde",2020,"Nunspeet","Nunspeet                                ","Gemeente  ","GM0302              ",81.2,"    49.7",15.1,16.2,47.1,31.8,"       .","       .",4.9,8.6
"8","18 jaar of ouder","Waarde",2020,"Oegstgeest","Oegstgeest                              ","Gemeente  ","GM0579              ",83.4,"    53.2",11,11.7,40.7,30.9,"       .","       .",4.8,9
"9","18 jaar of ouder","Waarde",2020,"Oirschot","Oirschot                                ","Gemeente  ","GM0823              ",81,"    49.7",13.6,12.5,34.7,29.3,"       .","       .",4.6,8.7
"10","18 jaar of ouder","Waarde",2020,"Oisterwijk","Oisterwijk                              ","Gemeente  ","GM0824              ",79.7,"    49.8",14.8,13.9,36.5,31.3,"       .","       .",5.2,9.4
"11","18 jaar of ouder","Waarde",2020,"Oldambt","Oldambt                                 ","Gemeente  ","GM1895              ",70.7,"    40.4",23.6,19.9,49.5,39.4,"       .","       .",6.7,11.3
"12","18 jaar of ouder","Waarde",2020,"Oldebroek","Oldebroek                               ","Gemeente  ","GM0269              ",81.2,"    49.2",15.9,15.9,46,31.7,"       .","       .",4.9,8.3
"13","18 jaar of ouder","Waarde",2020,"Oldenzaal","Oldenzaal                               ","Gemeente  ","GM0173              ",79.9,"    53.4",17.1,16.6,35.9,32.2,"       .","       .",5.3,9.7
"14","18 jaar of ouder","Waarde",2020,"Olst-Wijhe","Olst-Wijhe                              ","Gemeente  ","GM1773              ",81.8,"    50.7",15.8,15.7,40.3,32.8,"       .","       .",4.5,8.4
"15","18 jaar of ouder","Waarde",2020,"Ommen","Ommen                                   ","Gemeente  ","GM0175              ",82.4,"    50.0",16.1,15.9,39.9,31.5,"       .","       .",4.1,8.4
"16","18 jaar of ouder","Waarde",2020,"Oost Gelre","Oost Gelre                              ","Gemeente  ","GM1586              ",81.9,"    56.4",15.9,15.5,34,31.3,"       .","       .",4.6,8.3
"17","18 jaar of ouder","Waarde",2020,"Oosterhout","Oosterhout                              ","Gemeente  ","GM0826              ",76.9,"    46.6",16.9,16.5,42.6,33.6,"       .","       .",7,11.1
"18","18 jaar of ouder","Waarde",2020,"Ooststellingwerf","Ooststellingwerf                        ","Gemeente  ","GM0085              ",79.3,"    49.7",16.3,17.2,43.5,34.4,"       .","       .",4.6,8.7
"19","18 jaar of ouder","Waarde",2020,"Oostzaan","Oostzaan                                ","Gemeente  ","GM0431              ",80.4,"    49.8",14.5,14.9,40.1,31.8,"       .","       .",4.8,9
"20","18 jaar of ouder","Waarde",2020,"Opmeer","Opmeer                                  ","Gemeente  ","GM0432              ",81.9,"    52.2",12.1,15.6,35.6,29.4,"       .","       .",4.5,7.9
"21","18 jaar of ouder","Waarde",2020,"Opsterland","Opsterland                              ","Gemeente  ","GM0086              ",81.1,"    51.1",15,16.8,41.6,32.4,"       .","       .",4.2,7.8
"22","18 jaar of ouder","Waarde",2020,"Oss","Oss                                     ","Gemeente  ","GM0828              ",76.8,"    47.1",16.5,18.5,42.2,33.9,"       .","       .",7.4,11.1
"23","18 jaar of ouder","Waarde",2020,"Oude IJsselstreek","Oude IJsselstreek                       ","Gemeente  ","GM1509              ",78.5,"    50.8",18.1,17,39.7,34.1,"       .","       .",6,10.3
"24","18 jaar of ouder","Waarde",2020,"Ouder-Amstel","Ouder-Amstel                            ","Gemeente  ","GM0437              ",81.6,"    50.2",12.4,14.5,39.8,29.6,"       .","       .",5.4,10.1
"25","18 jaar of ouder","Waarde",2020,"Oudewater","Oudewater                               ","Gemeente  ","GM0589              ",81.2,"       .",13.6,13.9,42.5,30.4,"       .","       .",4.5,8.5
"26","18 jaar of ouder","Waarde",2020,"Overbetuwe","Overbetuwe                              ","Gemeente  ","GM1734              ",79.9,"    52.1",15.6,15.8,39.7,32.8,"       .","       .",5.3,9.1
"27","18 jaar of ouder","Waarde",2020,"Papendrecht","Papendrecht                             ","Gemeente  ","GM0590              ",78,"    43.7",17.4,15.7,51.1,33.2,"       .","       .",6.1,10.5
"28","18 jaar of ouder","Waarde",2020,"Peel en Maas","Peel en Maas                            ","Gemeente  ","GM1894              ",78.8,"    54.0",15,15.3,38.3,32.4,"       .","       .",5,9.1
"29","18 jaar of ouder","Waarde",2020,"Pekela","Pekela                                  ","Gemeente  ","GM0765              ",71.7,"    41.6",25.4,21.1,51,38.8,"       .","       .",7.4,10.7
"30","18 jaar of ouder","Waarde",2020,"Pijnacker-Nootdorp","Pijnacker-Nootdorp                      ","Gemeente  ","GM1926              ",82.8,"    49.9",13.4,13.1,45.3,29.8,"       .","       .",5.2,9.1
"31","18 jaar of ouder","Waarde",2020,"Purmerend","Purmerend                               ","Gemeente  ","GM0439              ",78.1,"    45.7",16.4,18.1,43.6,34,"       .","       .",6.7,10.8
"32","18 jaar of ouder","Waarde",2020,"Putten","Putten                                  ","Gemeente  ","GM0273              ",81.3,"    49.5",14.2,15.5,46.4,31.3,"       .","       .",4.9,8.4
"33","18 jaar of ouder","Waarde",2020,"Raalte","Raalte                                  ","Gemeente  ","GM0177              ",82.1,"    51.1",15.4,15.2,39.5,31.4,"       .","       .",4,8.3
"34","18 jaar of ouder","Waarde",2020,"Reimerswaal","Reimerswaal                             ","Gemeente  ","GM0703              ",78.6,"    48.6",16.7,17.4,52.8,30.4,"       .","       .",5.8,11.3
"35","18 jaar of ouder","Waarde",2020,"Renkum","Renkum                                  ","Gemeente  ","GM0274              ",78.7,"    52.4",15.3,14.4,45.8,35.9,"       .","       .",5.5,9.8
"36","18 jaar of ouder","Waarde",2020,"Renswoude","Renswoude                               ","Gemeente  ","GM0339              ",83.7,"       .",13.9,15.3,47.4,28,"       .","       .",4.4,7.3
