"","Onderwijsvolgend","Arbeidskenmerken","Uitkering","Geregistreerd.werkzoekende.bij.UWV","Perioden","Regio.s","Jongeren..15.tot.27.jaar...aantal."
"66","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Amsterdam",152900
"67","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Amsterdam",159400
"68","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Amsterdam",165000
"69","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Apeldoorn",22600
"70","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Apeldoorn",22800
"71","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Apeldoorn",23000
"72","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Apeldoorn",23200
"73","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Arnhem",26900
"74","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Arnhem",27300
"75","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Arnhem",27600
"76","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Arnhem",27900
"77","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Assen",9700
"78","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Assen",9800
"79","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Assen",10000
"80","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Assen",10100
"81","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Asten",2400
"82","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Asten",2500
"83","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Asten",2400
"84","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Asten",2300
"85","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Baarle-Nassau",800
"86","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Baarle-Nassau",800
"87","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Baarle-Nassau",800
